,Class
Class,1.0
V11,0.15487564474394433
V4,0.13344748623900715
V2,0.0912886503446179
V21,0.04041338061057565
V19,0.034783013036515056
V20,0.020090324196974638
V8,0.019875123914794384
V27,0.017579728189513477
V28,0.00953604091623609
Amount,0.005631753006768552
V26,0.004455397501283329
V25,0.0033077055972996604
V22,0.0008053175052983059
V23,-0.00268515574025078
V15,-0.004223402267856676
V13,-0.004569778799461311
Day,-0.0052233078855685846
V24,-0.007220906715952583
LogAmount,-0.008326411077819394
Time,-0.012322570929245588
Hour,-0.0171085613246469
V6,-0.04364316069996495
V5,-0.09497429899144802
V9,-0.09773268607408069
V1,-0.10134729859508294
V18,-0.11148525388904133
V7,-0.18725659151430013
V3,-0.192960827067416
V16,-0.19653894030401733
V10,-0.21688294364103206
V12,-0.26059292487722485
V14,-0.3025436958044029
V17,-0.3264810672437159
